website,stars
https://github.com/ReactiveX/RxJava,29439
https://github.com/iluwatar/java-design-patterns,27552
https://github.com/elastic/elasticsearch,27347
https://github.com/square/retrofit,25399
https://github.com/square/okhttp,24038
https://github.com/google/guava,20858
https://github.com/PhilJay/MPAndroidChart,19563
https://github.com/JetBrains/kotlin,19554
https://github.com/JakeWharton/butterknife,19418
https://github.com/bumptech/glide,19257
https://github.com/spring-projects/spring-boot,18682
https://github.com/spring-projects/spring-framework,18016
https://github.com/square/leakcanary,17819
https://github.com/airbnb/lottie-android,17613
https://github.com/greenrobot/EventBus,16750
https://github.com/zxing/zxing,16680
https://github.com/kdn251/interviews,16677
https://github.com/nostra13/Android-Universal-Image-Loader,15859
https://github.com/google/iosched,15206
https://github.com/Blankj/AndroidUtilCode,14984
https://github.com/square/picasso,14662
https://github.com/ReactiveX/RxAndroid,14585
https://github.com/alibaba/dubbo,14512
https://github.com/facebook/fresco,13844
https://github.com/libgdx/libgdx,13052
https://github.com/netty/netty,12075
https://github.com/chrisbanes/PhotoView,12044
https://github.com/Netflix/Hystrix,11969
https://github.com/afollestad/material-dialogs,11915
https://github.com/alibaba/fastjson,11839
https://github.com/CymChad/BaseRecyclerViewAdapterHelper,11340
https://github.com/jfeinstein10/SlidingMenu,10814
https://github.com/Tencent/tinker,10788
https://github.com/lgvalle/Material-Animations,10715
https://github.com/android10/Android-CleanArchitecture,10491
https://github.com/nickbutcher/plaid,10242
https://github.com/loopj/android-async-http,10092
https://github.com/androidannotations/androidannotations,9933
https://github.com/JakeWharton/ViewPagerIndicator,9509
https://github.com/daimajia/AndroidSwipeLayout,9327
https://github.com/greenrobot/greenDAO,9177
https://github.com/pockethub/PocketHub,9111
https://github.com/alibaba/druid,9079
https://github.com/nathanmarz/storm,9060
https://github.com/facebook/stetho,8931
https://github.com/realm/realm-java,8884
https://github.com/googlesamples/android-UniversalMusicPlayer,8743
https://github.com/SeleniumHQ/selenium,8734
https://github.com/daimajia/AndroidViewAnimations,8706
https://github.com/hdodenhof/CircleImageView,8653
https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh,8651
https://github.com/DrKLO/Telegram,8628
https://github.com/mikepenz/MaterialDrawer,8622
https://github.com/google/ExoPlayer,8571
https://github.com/chrisbanes/Android-PullToRefresh,8537
https://github.com/WhisperSystems/Signal-Android,8532
https://github.com/navasmdc/MaterialDesignLibrary,8528
https://github.com/winterbe/java8-tutorial,8382
https://github.com/scwang90/SmartRefreshLayout,8363
https://github.com/ksoichiro/Android-ObservableScrollView,8361
https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,8342
https://github.com/orhanobut/logger,8110
https://github.com/deeplearning4j/deeplearning4j,7904
https://github.com/bazelbuild/bazel,7796
